,student_name,student_id,major,period,grade,passed_subject,get_subject
0,서채윤,2019381529,기계공학과,4,2,"['GEC0103-G13', 'APCH3501-00', 'GEC0103-G11', 'PM1016-01', 'VID3009-00', 'CE351-01', 'VID2011-01', 'NE202-00', 'GED1467-G00', 'CPE101-04', 'RU2101-00', 'BIO103-02']","[['GEE1127-G02', '18:00', '20:25', '화'], ['GED1508-G00', '13:30', '14:45', '목'], ['GED1508-G00', '13:30', '14:45', '화'], ['GED1329-G00', '15:00', '16:15', '수'], ['GED1329-G00', '15:00', '16:15', '월'], ['GEC1403-G18', '10:30', '11:45', '목'], ['GEC1403-G18', '10:30', '11:45', '화'], ['GED1959-G02', '16:30', '17:45', '수'], ['GED1959-G02', '16:30', '17:45', '월']]"
1,임채빈,2011296452,기계공학과,8,4,"['GED1240-G01', 'GEC2001-G36', 'ID2003-01', 'AMTH1002-03', 'GEE1343-G00', 'AE202-00', 'CHE232-02', 'PM3022-19', 'GEC2001-G01', 'EE211-04', 'GED1306-G00', 'CPE101-05', 'NE361-00', 'AMTH1002-07', 'AE101-00', 'FD109-01']","[['GEC1403-G25', '13:30', '14:45', '목'], ['GEC1403-G25', '13:30', '14:45', '화'], ['GEC1102-G33', '10:30', '11:45', '목'], ['GEC1102-G33', '10:30', '11:45', '화'], ['GEB1101-G02', '12:00', '13:15', '목'], ['GEB1101-G02', '12:00', '13:15', '화'], ['GED1940-G00', '9:00', '11:45', '수'], ['GED1432-G00', '13:30', '14:45', '수'], ['GED1432-G00', '13:30', '14:45', '월'], ['GEC1102-G23', '15:00', '16:15', '수'], ['GEC1102-G23', '15:00', '16:15', '월']]"
2,서규빈,2015945379,기계공학과,4,2,"['SM208-01', 'JP211-00', 'CSE301-02', 'SPACE212-00', 'IS3513-01', 'CE474-00', 'GEC1403-G32', 'FSB351-02']","[['GEC2001-G37', '12:00', '14:45', '금'], ['GEC1105-G42', '9:00', '11:45', '금'], ['GEC1403-G03', '10:30', '11:45', '수'], ['GEC1403-G03', '10:30', '11:45', '월'], ['GEC1102-G40', '12:00', '13:15', '목'], ['GEC1102-G40', '12:00', '13:15', '화']]"
3,임희윤,2017409116,기계공학과,8,4,"['CSE308-00', 'EE368-04', 'IS1002-00', 'APHY1002-09', 'GEE1667-G00', 'CHE232-02', 'GED1957-G02', 'ENV485-00', 'ELC464-00', 'APHY4403-00', 'GEC1403-G12', 'APHY1002-24', 'RTG106-00', 'GEC1102-G11', 'CE475-00', 'GED1909-G00', 'GEC1104-G34', 'JP111-00', 'ESP438-00', 'GED1432-G00']","[['GEC1403-G00', '9:00', '10:15', '수'], ['GEC1403-G00', '9:00', '10:15', '월'], ['EDU2103-G04', '11:00', '12:50', '수'], ['GEC1403-G24', '13:30', '14:45', '목'], ['GEC1403-G24', '13:30', '14:45', '화'], ['GEC1102-G20', '13:30', '14:45', '수'], ['GEC1102-G20', '13:30', '14:45', '월']]"
4,조아인,2012300078,기계공학과,3,2,"['CDG0267-00', 'OMB401-00', 'IS4401-00', 'IE207-00', 'APHY1002-02', 'LA420-00', 'AMTH1009-02', 'FR2011-01', 'GEC2001-G01', 'CPE401-11', 'SC305-01', 'GEC1102-G22']","[['GED1540-G00', '13:30', '14:45', '수'], ['GED1540-G00', '13:30', '14:45', '월'], ['GEC1104-G32', '12:00', '14:45', '목'], ['GEE1345-G00', '12:00', '14:45', '금'], ['GEB1102-G01', '10:30', '11:45', '수'], ['GEB1102-G01', '10:30', '11:45', '월'], ['GED1959-G02', '16:30', '17:45', '수'], ['GED1959-G02', '16:30', '17:45', '월'], ['GEC1403-G24', '13:30', '14:45', '화']]"
5,임여준,2012086195,기계공학과,4,2,"['TK203-02', 'GEC1104-G30', 'ELC103-01', 'GEC1104-G34', 'FR1011-01', 'TK301-01', 'FT4077-00', 'AE352-00', 'GED1539-G00', 'CPE104-01']","[['GED1961-G00', '12:00', '13:15', '수'], ['GED1961-G00', '12:00', '13:15', '월'], ['GEE1958-G01', '13:30', '14:45', '수'], ['GEE1958-G01', '13:30', '14:45', '월'], ['GEC1104-G42', '12:00', '14:45', '금'], ['GEC1102-G51', '15:00', '16:15', '목'], ['GEC1102-G51', '15:00', '16:15', '화'], ['GEC1102-G40', '12:00', '13:15', '목'], ['GEC1102-G40', '12:00', '13:15', '화']]"
6,윤은성,2021558670,기계공학과,1,1,"['AMTH1009-00', 'IE320-00', 'GEC1101-G01', 'CPE301-02', 'PE205-01']","[['GEC1105-G29', '12:00', '13:15', '목'], ['GEC1105-G29', '12:00', '13:15', '화'], ['GEC2001-G17', '16:30', '17:45', '수'], ['GEC2001-G17', '16:30', '17:45', '월'], ['GEC2001-G21', '10:30', '11:45', '목'], ['GEC2001-G21', '10:30', '11:45', '화'], ['GEC0103-G00', '16:30', '17:45', '화'], ['GEC0103-G00', '16:30', '17:45', '목'], ['GED1959-G01', '15:00', '16:15', '수'], ['GED1959-G01', '15:00', '16:15', '월'], ['GEC2001-G10', '13:30', '14:45', '수'], ['GEC2001-G10', '13:30', '14:45', '월']]"
7,서지선,2017093566,기계공학과,5,3,"['ME351-01', 'AMTH1009-19', 'GEC1105-G01', 'GEC1102-G19', 'GEE1958-G01', 'GEC0103-G06', 'CPE301-15', 'IS4401-00', 'GEC0103-G02', 'IE324-01', 'IE214-00', 'GED1609-G00', 'APHY1000-04', 'GEB1102-G02', 'APHY1002-06', 'APHY2102-00', 'IE207-01', 'CSE428-00']","[['GED1349-G00', '12:00', '13:15', '수'], ['GED1349-G00', '12:00', '13:15', '월'], ['GEC1102-G41', '12:00', '13:15', '목'], ['GEC1102-G41', '12:00', '13:15', '화'], ['GEE1960-G00', '9:00', '10:15', '목'], ['GEE1960-G00', '9:00', '10:15', '화'], ['GEC1104-G27', '9:00', '11:45', '목']]"
8,박재우,2013672939,기계공학과,7,4,"['SPACE424-00', 'ME321-02', 'GEC1403-G22', 'GEC1104-G37', 'CA4001-00', 'ESP207-00', 'CSE302-03', 'SM420-00', 'APHY2100-00', 'CHE431-04', 'BIO101-01', 'ME351-01', 'JP374-00', 'NE203-00', 'IE301-01', 'FSB361-00', 'GED1542-G00', 'BIO101-02', 'GED1104-G00', 'OMB319-00']","[['GED1349-G00', '12:00', '13:15', '수'], ['GED1349-G00', '12:00', '13:15', '월'], ['GEB1202-G00', '9:00', '10:15', '수'], ['GEB1202-G00', '9:00', '10:15', '월'], ['GEC2001-G32', '16:30', '17:45', '목'], ['GEC2001-G32', '16:30', '17:45', '화'], ['GEC1102-G28', '16:30', '17:45', '수'], ['GEC1102-G28', '16:30', '17:45', '월']]"
9,최선유,2021005448,기계공학과,2,1,"['EDU3343-G00', 'AR211-03', 'AMTH4010-00', 'CSE201-01']","[['GED1223-G01', '12:00', '14:45', '금'], ['GED1735-G00', '15:00', '17:45', '목'], ['GEC1105-G17', '16:30', '17:45', '수'], ['GEC1105-G17', '16:30', '17:45', '월'], ['GEC2001-G27', '13:30', '14:45', '목'], ['GEC2001-G27', '13:30', '14:45', '화'], ['GEC1104-G30', '12:00', '14:45', '목']]"
