student_name,student_id,major,period,grade,passed_subject,get_subject
임지웅,2021416783,기계공학과,2,1,"['APHY1100-03', 'FD111-04', 'PM2023-13', 'AMIE261-00', 'TK308-01']","['GEE1669-G00', 'GEC1102-G37', 'GEE1330-G04', 'GEC2001-G22', 'EDU2102-G01']"
윤윤설,2013330674,기계공학과,8,4,"['CPE108-01', 'ESP105-02', 'IS4401-00', 'FT2066-00', 'APCH3301-01', 'GEE1343-G00', 'FD110-02', 'CPE201-14', 'ME380-01', 'EE211-05', 'APHY4200-00', 'GEN203-01', 'JP233-00', 'GEC1102-G21', 'EDU4104-G01', 'CSE301-01', 'PE216-00', 'BIO101-00', 'TK308-01', 'ID4014-00']","['GEE1648-G01', 'GEE1267-G00', 'GEC1403-G02', 'GEC1403-G36', 'GEC1104-G44']"
정채민,2013823725,기계공학과,5,3,"['RU2101-00', 'GED1734-G00', 'CHE332-02', 'VID4020-00', 'GEC1403-G33', 'GEN306-02', 'IPE503-00', 'AMTH1009-19', 'ESP309-00', 'CHE452-00', 'CSE224-00', 'AMTH1009-01']","['GEE1665-G01', 'GEC2001-G28', 'GED1509-G00', 'GEC1104-G33', 'GEC1104-G26', 'GEB1102-G04']"
박태인,2017991641,기계공학과,3,2,"['RU2103-00', 'ELC203-00', 'FR1011-00', 'GEC1102-G12', 'CPE301-14', 'PM2023-00', 'CA2006-01', 'EDU2102-G00']","['GEC0103-G06', 'GEC1403-G25', 'GED1337-G00', 'GEC1105-G33']"
조정욱,2016178163,기계공학과,5,3,"['GEC1403-G39', 'SC305-01', 'GEC1102-G05', 'GEB1102-G02', 'ENV357-00', 'EE207-03', 'EDU3195-G00', 'ELC104-00', 'SC105-01', 'APHY3400-00', 'GEC1102-G41', 'TK204-01']","['GEC2001-G23', 'GEC1102-G28', 'GEC1102-G51', 'GED1419-G00']"
강선준,2020093584,기계공학과,3,2,"['IS2001-01', 'APHY1002-28', 'AMIE394-01', 'IS4404-00', 'CHI209-00', 'IE415-00', 'OMB213-00', 'GE3001-00', 'GI201-02', 'PE307-01', 'APHY1000-06', 'DC402-00']","['GEC0103-G09', 'GEC1403-G12', 'GEC1104-G10', 'GEC1102-G44', 'GEE1630-G01']"
최윤재,2014661362,기계공학과,8,4,"['CSE340-00', 'GEE1956-G06', 'PM4025-05', 'TC313-01', 'AMTH1005-00', 'GED1733-G00', 'GEC1104-G28', 'ELC301-00', 'AE202-00', 'SWCON311-00', 'SC206-01', 'FR3016-00', 'EE209-02', 'ELC359-00', 'FR4301-00', 'GEC1102-G46', 'AMTH2004-00', 'EE209-01', 'VID2019-01', 'EE341-00', 'CDG3253-00', 'GEC1104-G37', 'APCH1131-01', 'FT1076-00']","['GEE1332-G02', 'GED1940-G00', 'GEC1104-G24', 'GEE1668-G00', 'GEC2001-G25']"
한은성,2021289176,기계공학과,1,1,"['ESP309-01', 'AMIE431-00', 'PM4025-12', 'GED1208-G00', 'ENV276-00']","['GEC2001-G17', 'GEC1104-G26', 'GED1511-G00', 'GEE1960-G00']"
한상원,2011283880,기계공학과,6,3,"['GED1432-G01', 'GED1242-G00', 'CA1007-01', 'GED1223-G00', 'DC301-00', 'PM3022-17', 'GEC1102-G49', 'GEC1104-G32', 'VID2007-00', 'GEC1102-G27', 'LA420-00', 'CHI312-00', 'AR111-05', 'ME211-03', 'GEC1102-G17']","['GED1356-G00', 'GED1940-G00', 'GEE1605-G00', 'GED1306-G00', 'EDU2102-G01']"
한태인,2021511698,기계공학과,1,1,"['GED1337-G00', 'GEC1102-G22', 'TK102-02', 'AMIE475-00', 'EE368-00']","['GEC1403-G00', 'GEC1105-G38', 'GEC1104-G01', 'GEC1105-G44']"
김연우,2021306564,기계공학과,1,1,"['FSB231-00', 'FR3015-00', 'GEC1105-G12', 'PE216-00', 'GED1947-G01', 'CE277-02']","['GEC1104-G20', 'GEE1657-G01', 'GEE1648-G01', 'GED1311-G00', 'EDU2101-G00']"
윤가온,2011772874,기계공학과,7,4,"['CPE301-04', 'GEC1102-G06', 'EE368-01', 'AE103-00', 'OMB301-00', 'CSE308-00', 'JP378-00', 'EE211-05', 'GEE1956-G06', 'ESP105-00', 'BIO104-00', 'IS4402-00', 'AR111-01', 'ENV315-00', 'CPE301-16', 'IS4205-00', 'PM3022-01', 'IE301-01', 'AMIE396-02', 'CHE232-01']","['GEC1104-G32', 'GED1650-G00', 'GEC1403-G33', 'GEC1102-G09', 'GED1408-G01', 'GEC1102-G14']"
윤은규,2014794678,기계공학과,7,4,"['SWCON253-00', 'GEC1105-G13', 'GEE1332-G00', 'EE209-04', 'LA204-00', 'GED1358-G00', 'GED1860-G00', 'GEE1959-G01', 'AMIE371-00', 'GEB1102-G01', 'GEC2001-G38', 'AMTH1004-04', 'TK311-01', 'AE351-01', 'ME375-01', 'CPE104-04']","['GED1119-G01', 'GEC1104-G13', 'GED1517-G00', 'GED1541-G00', 'GEC1104-G20']"
